Time,Price,5-Day EMA,KNN MA,Highlight
0,362.85998535156,,,
1,363.14001464844,,,
2,362.83999633789,,,
3,363.10000610352,,,
4,362.76989746094,362.94197998046997,,
5,363.48001098633,363.12132364908996,362.94197998046997,Green
6,362.94378662109,363.06214463975664,363.06598510742396,Red
7,362.9700012207,363.0314301667378,363.026739501954,Green
8,362.83999633789,362.9676188904552,363.052740478516,Red
9,364.01998901367,363.3184089315268,363.0007385253899,Green
10,363.80999755859,363.48227180721454,363.250756835936,Green
11,364.69000244141,363.8848486852797,363.31675415038796,Green
12,365.19989013672,364.3231958357598,363.66599731445194,Green
13,365.67999267578,364.77546144909985,364.111975097656,Green
14,365.64639282227,365.0657719068232,364.679974365234,Green
15,366.10998535156,365.4138430550688,365.005255126954,Green
16,366.04998779297,365.6258913010359,365.46525268554797,Green
17,365.5299987793,365.59392712712395,365.73724975586003,Red
18,365.83389282227,365.6739156921726,365.803271484376,Red
19,365.66000366211,365.6692783488184,365.834051513674,Red
20,364.89001464844,365.4095237820256,365.836773681642,Red
21,365.30499267578,365.37468007994374,365.592779541018,Red
22,364.38000488281,365.04312168089916,365.44378051758,Red
23,364.75,364.94541445393276,365.213781738282,Red
24,365.25,365.0469429692885,364.997003173828,Green
25,365.61999511719,365.23796035192237,364.915002441406,Green
26,365.70001220703,365.39197763695825,365.06099853515605,Green
27,365.28500366211,365.3563196453422,365.14000244140595,Green
28,365.40631103516,365.3729834419481,365.321002197266,Green
29,365.68090820312,365.4756250290054,365.45226440429803,Green
30,365.5299987793,365.49374961243694,365.53844604492195,Red
31,365.88000488281,365.62250136922796,365.52044677734403,Green
32,366.29998779297,365.848330177142,365.5564453125,Green
33,366.43218994141,366.04295009856463,365.75944213867194,Green
34,365.81799316406,365.96796445372973,365.964617919922,Green
35,364.76000976562,365.5653128910265,365.99203491210994,Red
36,364.47149658203,365.20070745469434,365.838037109374,Red
37,364.14999389648,364.8504696019562,365.556335449218,Red
38,363.39001464844,364.36365128411745,365.12633666992,Red
39,363.44000244141,364.0557683365483,364.517901611326,Red
40,363.08010864258,363.73054843855886,364.04230346679594,Red
41,363.36999511719,363.61036399810257,363.706323242188,Red
42,363.41000366211,363.54357721943836,363.48602294922,Green
43,363.44268798828,363.5099474757189,363.33802490234604,Green
44,363.5071105957,363.50900184904594,363.348559570314,Green
45,363.55999755859,363.52600041889394,363.36198120117194,Green
46,364.01998901367,363.6906632838193,363.457958984374,Green
47,364.26501464844,363.88211373869285,363.58795776367,Green
48,363.91000366211,363.8914103798319,363.758959960936,Green
49,364.12008666992,363.96763580986124,363.852423095702,Green
50,363.88000488281,363.9384255008442,363.97501831054603,Red
51,363.71990966797,363.8655868898861,364.03901977539005,Red
52,363.86999511719,363.8670562989874,363.97900390625,Red
53,363.80499267578,363.8463684245849,363.90000000000003,Red
54,364.23999023438,363.9775756945166,363.87899780273403,Green
55,364.23999023438,364.0650472078044,363.902978515626,Green
56,364.35989379883,364.16332940481294,363.97497558594,Green
57,364.49090576172,364.27252152378196,364.102972412112,Green
58,364.70999145508,364.4183448342146,364.22715454101797,Green
59,364.53491210938,364.4572005926031,364.408154296878,Green
60,364.53350830078,364.48263649532873,364.467138671878,Green
61,364.04000854492,364.3350938451925,364.525842285158,Red
62,364.35000610352,364.3400645979683,364.461865234376,Red
63,364.16000366211,364.28004428601554,364.43368530273597,Red
64,364.25500488281,364.27169781828036,364.323687744142,Red
65,364.20001220703,364.24780261453026,364.267706298828,Red
66,363.48049926758,363.9920348322135,364.20100708007806,Red
67,363.36599731445,363.78335565962567,364.08910522461,Red
68,363.89001464844,363.81890865589713,363.89230346679597,Red
69,364.14999389648,363.9292704027581,363.838305664062,Green
70,364.20999145508,364.0228440868654,363.81730346679603,Green
71,363.76998901367,363.93855906246694,363.81929931640605,Green
72,363.66000366211,363.84570726234796,363.877197265624,Red
73,363.70999145508,363.8004686599253,363.93599853515605,Red
74,363.70999145508,363.7703095916435,363.89999389648403,Red
75,363.86999511719,363.803538100159,363.811993408204,Red
76,363.86709594727,363.824724049196,363.743994140626,Green
77,364.57998657227,364.076478223554,363.76341552734596,Green
78,364.79000854492,364.3143216640093,363.947412109378,Green
79,364.48901367188,364.37255233329955,364.163415527346,Green
80,363.50500488281,364.08336984980303,364.319219970706,Red
